'03.04.2023 17:09:07','638161385471313435','MouseMovement','None','X:348,Y:980'
'03.04.2023 17:09:07','638161385471527590','MouseMovement','None','X:355,Y:977'
'03.04.2023 17:09:07','638161385471680614','MouseMovement','None','X:361,Y:971'
'03.04.2023 17:09:07','638161385471736086','MouseMovement','None','X:364,Y:967'
'03.04.2023 17:09:07','638161385471949019','MouseMovement','None','X:384,Y:949'
'03.04.2023 17:09:07','638161385472059575','MouseMovement','None','X:395,Y:940'
'03.04.2023 17:09:07','638161385472163228','MouseMovement','None','X:406,Y:927'
'03.04.2023 17:09:07','638161385472378738','MouseMovement','None','X:438,Y:894'
'03.04.2023 17:09:07','638161385472486960','MouseMovement','None','X:471,Y:859'
'03.04.2023 17:09:07','638161385472589577','MouseMovement','None','X:501,Y:833'
'03.04.2023 17:09:07','638161385472804996','MouseMovement','None','X:541,Y:800'
'03.04.2023 17:09:07','638161385472909816','MouseMovement','None','X:588,Y:759'
'03.04.2023 17:09:07','638161385473020459','MouseMovement','None','X:614,Y:735'
'03.04.2023 17:09:07','638161385473232948','MouseMovement','None','X:660,Y:678'
'03.04.2023 17:09:07','638161385473340214','MouseMovement','None','X:704,Y:622'
'03.04.2023 17:09:07','638161385473445430','MouseMovement','None','X:722,Y:601'
'03.04.2023 17:09:07','638161385473657061','MouseMovement','None','X:749,Y:568'
'03.04.2023 17:09:07','638161385473682461','MouseMovement','None','X:760,Y:557'
'03.04.2023 17:09:07','638161385473763088','MouseMovement','None','X:770,Y:547'
'03.04.2023 17:09:07','638161385473870479','MouseMovement','None','X:783,Y:535'
'03.04.2023 17:09:07','638161385473977625','MouseMovement','None','X:788,Y:530'
'03.04.2023 17:09:07','638161385474082962','MouseMovement','None','X:794,Y:525'
'03.04.2023 17:09:07','638161385474192945','MouseMovement','None','X:804,Y:517'
'03.04.2023 17:09:07','638161385474299796','MouseMovement','None','X:810,Y:514'
'03.04.2023 17:09:07','638161385474404616','MouseMovement','None','X:816,Y:510'
'03.04.2023 17:09:07','638161385474662189','MouseMovement','None','X:827,Y:501'
'03.04.2023 17:09:07','638161385474738235','MouseMovement','None','X:827,Y:498'
'03.04.2023 17:09:07','638161385474823275','MouseMovement','None','X:828,Y:496'
'03.04.2023 17:09:07','638161385474942945','MouseMovement','None','X:828,Y:491'
'03.04.2023 17:09:07','638161385475042748','MouseMovement','None','X:828,Y:490'
'03.04.2023 17:09:07','638161385475151103','MouseMovement','None','X:828,Y:487'
'03.04.2023 17:09:07','638161385475365212','MouseMovement','None','X:828,Y:486'
'03.04.2023 17:09:07','638161385475470437','MouseMovement','None','X:828,Y:484'
'03.04.2023 17:09:07','638161385475580784','MouseMovement','None','X:828,Y:481'
